iter	Passed	Remaining
0	31	9305
1	56	8355
2	81	8092
3	105	7811
4	130	7728
5	154	7563
6	178	7471
7	203	7419
8	227	7342
9	251	7293
10	275	7225
11	298	7159
12	322	7116
13	346	7075
14	370	7040
15	393	6988
16	417	6947
17	442	6936
18	467	6915
19	490	6873
20	514	6835
21	538	6802
22	561	6763
23	585	6738
24	609	6704
25	635	6697
26	659	6669
27	683	6637
28	708	6621
29	733	6597
30	757	6576
31	781	6544
32	803	6502
33	827	6472
34	853	6458
35	876	6430
36	901	6407
37	925	6378
38	947	6339
39	970	6307
40	993	6277
41	1016	6242
42	1039	6215
43	1062	6180
44	1084	6147
45	1106	6111
46	1131	6088
47	1154	6063
48	1179	6042
49	1202	6013
50	1225	5984
51	1248	5952
52	1271	5924
53	1294	5898
54	1317	5868
55	1341	5845
56	1366	5824
57	1389	5795
58	1412	5771
59	1437	5748
60	1461	5724
61	1483	5696
62	1507	5669
63	1530	5643
64	1552	5612
65	1574	5583
66	1598	5558
67	1620	5528
68	1644	5504
69	1668	5481
70	1691	5454
71	1713	5425
72	1737	5404
73	1762	5381
74	1785	5355
75	1808	5331
76	1831	5305
77	1855	5280
78	1877	5253
79	1902	5231
80	1924	5203
81	1948	5178
82	1972	5156
83	1995	5130
84	2017	5104
85	2041	5081
86	2064	5054
87	2088	5031
88	2110	5004
89	2135	4982
90	2159	4960
91	2181	4932
92	2206	4910
93	2230	4887
94	2252	4861
95	2276	4837
96	2298	4810
97	2322	4786
98	2346	4764
99	2369	4739
100	2393	4715
101	2417	4691
102	2440	4667
103	2463	4642
104	2486	4618
105	2510	4594
106	2533	4569
107	2556	4544
108	2579	4520
109	2601	4493
110	2625	4469
111	2647	4444
112	2671	4421
113	2694	4395
114	2716	4370
115	2739	4346
116	2764	4323
117	2787	4299
118	2811	4276
119	2835	4253
120	2858	4229
121	2881	4203
122	2903	4177
123	2926	4153
124	2951	4131
125	2974	4107
126	2999	4086
127	3023	4063
128	3047	4039
129	3072	4017
130	3094	3991
131	3117	3967
132	3140	3943
133	3164	3920
134	3188	3896
135	3212	3873
136	3235	3849
137	3259	3825
138	3281	3800
139	3305	3777
140	3328	3753
141	3350	3727
142	3373	3703
143	3396	3679
144	3420	3656
145	3443	3631
146	3468	3610
147	3492	3587
148	3516	3563
149	3538	3538
150	3561	3514
151	3585	3490
152	3614	3472
153	3638	3449
154	3663	3427
155	3687	3403
156	3711	3380
157	3734	3356
158	3757	3332
159	3781	3309
160	3804	3284
161	3828	3261
162	3852	3237
163	3875	3214
164	3899	3190
165	3924	3168
166	3949	3145
167	3973	3122
168	3998	3099
169	4021	3075
170	4046	3052
171	4070	3029
172	4094	3005
173	4118	2982
174	4142	2958
175	4166	2935
176	4189	2911
177	4213	2888
178	4236	2864
179	4260	2840
180	4283	2815
181	4305	2791
182	4330	2768
183	4353	2744
184	4376	2720
185	4402	2698
186	4426	2674
187	4451	2651
188	4474	2627
189	4497	2604
190	4522	2580
191	4546	2557
192	4569	2533
193	4592	2509
194	4616	2486
195	4640	2462
196	4663	2438
197	4686	2414
198	4710	2390
199	4735	2367
200	4758	2343
201	4781	2319
202	4804	2295
203	4829	2272
204	4853	2249
205	4877	2225
206	4900	2201
207	4923	2177
208	4945	2153
209	4968	2129
210	4992	2105
211	5016	2082
212	5039	2058
213	5062	2034
214	5086	2010
215	5110	1987
216	5132	1963
217	5156	1939
218	5181	1916
219	5206	1893
220	5233	1870
221	5257	1847
222	5281	1823
223	5305	1800
224	5328	1776
225	5350	1751
226	5374	1728
227	5398	1704
228	5422	1681
229	5447	1657
230	5470	1634
231	5495	1610
232	5517	1586
233	5540	1562
234	5563	1538
235	5586	1515
236	5610	1491
237	5634	1467
238	5657	1444
239	5683	1420
240	5706	1396
241	5729	1373
242	5752	1349
243	5775	1325
244	5799	1301
245	5824	1278
246	5847	1254
247	5871	1231
248	5893	1207
249	5917	1183
250	5941	1159
251	5965	1136
252	5987	1112
253	6012	1088
254	6035	1065
255	6060	1041
256	6082	1017
257	6105	993
258	6128	970
259	6151	946
260	6175	922
261	6198	899
262	6222	875
263	6246	851
264	6270	828
265	6293	804
266	6317	780
267	6340	757
268	6364	733
269	6387	709
270	6411	686
271	6433	662
272	6458	638
273	6480	614
274	6505	591
275	6528	567
276	6550	543
277	6574	520
278	6598	496
279	6622	473
280	6646	449
281	6670	425
282	6693	402
283	6717	378
284	6741	354
285	6765	331
286	6789	307
287	6812	283
288	6836	260
289	6866	236
290	6889	213
291	6914	189
292	6936	165
293	6959	142
294	6983	118
295	7007	94
296	7032	71
297	7055	47
298	7078	23
299	7102	0
