2026-08-25 18:08:10 | INFO    | figures                | Saved figure: figure_01_workflow (png, pdf, svg)
2026-08-25 18:08:11 | INFO    | figures                | Saved figure: figure_02_class_distribution (png, pdf, svg)
2026-08-25 18:08:12 | INFO    | figures                | Saved figure: figure_03_model_comparison (png, pdf, svg)
2026-08-25 18:08:12 | INFO    | figures                | Saved figure: figure_04_confusion_matrix (png, pdf, svg)
2026-08-25 18:08:13 | INFO    | figures                | Saved figure: figure_06_pir_sensor_reduction (png, pdf, svg)
2026-08-25 18:08:15 | INFO    | figures                | Saved figure: figure_07_performance_vs_cost (png, pdf, svg)
2026-08-25 18:08:17 | INFO    | figures                | Saved figure: figure_08_correlation_heatmap (png, pdf, svg)
2026-08-25 18:08:18 | INFO    | figures                | Saved figure: figure_09_per_class_performance (png, pdf, svg)
2026-08-25 18:08:18 | INFO    | figures                | Saved figure: figure_10_temporal_class_distribution (png, pdf, svg)
2026-08-25 18:08:59 | INFO    | figures                | Saved figure: figure_01_workflow (png, pdf, svg)
2026-08-25 18:09:00 | INFO    | figures                | Saved figure: figure_02_class_distribution (png, pdf, svg)
2026-08-25 18:09:01 | INFO    | figures                | Saved figure: figure_03_model_comparison (png, pdf, svg)
2026-08-25 18:09:02 | INFO    | figures                | Saved figure: figure_04_confusion_matrix (png, pdf, svg)
2026-08-25 18:09:03 | INFO    | figures                | Saved figure: figure_06_pir_sensor_reduction (png, pdf, svg)
2026-08-25 18:09:04 | INFO    | figures                | Saved figure: figure_07_performance_vs_cost (png, pdf, svg)
2026-08-25 18:09:07 | INFO    | figures                | Saved figure: figure_08_correlation_heatmap (png, pdf, svg)
2026-08-25 18:09:07 | INFO    | figures                | Saved figure: figure_09_per_class_performance (png, pdf, svg)
2026-08-25 18:09:08 | INFO    | figures                | Saved figure: figure_10_temporal_class_distribution (png, pdf, svg)
2026-08-25 23:20:19 | INFO    | figures                | Saved figure: figure_01_workflow (png, pdf, svg)
2026-08-25 23:20:21 | INFO    | figures                | Saved figure: figure_02_class_distribution (png, pdf, svg)
2026-08-25 23:20:22 | INFO    | figures                | Saved figure: figure_03_model_comparison (png, pdf, svg)
2026-08-25 23:20:23 | INFO    | figures                | Saved figure: figure_04_confusion_matrix (png, pdf, svg)
2026-08-25 23:20:24 | INFO    | figures                | Saved figure: figure_06_pir_sensor_reduction (png, pdf, svg)
2026-08-25 23:20:25 | INFO    | figures                | Saved figure: figure_07_performance_vs_cost (png, pdf, svg)
2026-08-25 23:20:28 | INFO    | figures                | Saved figure: figure_08_correlation_heatmap (png, pdf, svg)
2026-08-25 23:20:28 | INFO    | figures                | Saved figure: figure_09_per_class_performance (png, pdf, svg)
2026-08-25 23:20:29 | INFO    | figures                | Saved figure: figure_10_temporal_class_distribution (png, pdf, svg)
