model,train_time_sec_full_data,inference_time_ms_per_sample,model_size_kb,n_parameters_or_nodes,macro_f1_cv_mean,accuracy_cv_mean,mcc_cv_mean
RandomForest,2.1164597999304533,0.02136933734150412,8438.07,96772.0,0.9196844116103241,0.9748840826665426,0.9199385191343566
ExtraTrees,0.8435798001009971,0.02154033460548782,27307.21,316340.0,0.918889823252267,0.9751378019691896,0.9211367796048211
CatBoost,7.240088599966839,0.0013990981595371848,641.53,300.0,0.9162315719512701,0.9744784633411155,0.9191052054893838
HistGradientBoosting,2.27924169995822,0.01799986929498947,1673.43,26336.0,0.9144951322746506,0.9734221620172644,0.9158054057045544
XGBoost,3.531068400014192,0.005065886799327386,1526.03,28376.0,0.9117962673359375,0.9726504949224857,0.9131534707408481
SVM,2.2545379999792203,0.09562227159673782,420.66,,0.908727695427622,0.972920224595178,0.9141598857413907
MLP,1.0966893999138847,0.0013785126257881107,145.97,5763.0,0.9037576490331336,0.9698288987383954,0.9038930381287467
KNN,0.014543300028890371,0.016786524631085934,3350.57,,0.8891675822255658,0.9666755395136308,0.8949603102741728
DecisionTree,0.35964550008066,0.0004389491518943579,17.47,179.0,0.86214975441083,0.9555651263870077,0.8596656678147927
LogisticRegression,0.2771275999257341,0.0006993857011882608,4.63,168.0,0.8185649656309169,0.9450322464796008,0.8210053724902325
