feature_name,role,dtype,n_unique,is_unique,notes
Date,datetime_component,str,3,False,Used only to construct temporal ordering and CV groups; excluded from model input.
Time,datetime_component,str,6424,False,Used only to construct temporal ordering and CV groups; excluded from model input.
Label,target,int64,3,False,"Multiclass target; unique values=[0, 1, 3]"
Temperature_F,temperature_feature_excluded_from_primary_model,int64,6,False,Excluded from primary PIR only experiment. Zero values=571. Retained in raw data only.
PIR_1,pir_sensor_feature,int64,1110,False,"Primary model feature; range=[2613,111602625]"
PIR_2,pir_sensor_feature,int64,1644,False,"Primary model feature; range=[2615,16383]"
PIR_3,pir_sensor_feature,int64,1771,False,"Primary model feature; range=[2614,16383]"
PIR_4,pir_sensor_feature,int64,1763,False,"Primary model feature; range=[2611,16383]"
PIR_5,pir_sensor_feature,int64,1659,False,"Primary model feature; range=[2612,16383]"
PIR_6,pir_sensor_feature,int64,1373,False,"Primary model feature; range=[2613,16383]"
PIR_7,pir_sensor_feature,int64,1128,False,"Primary model feature; range=[2616,16383]"
PIR_8,pir_sensor_feature,int64,1141,False,"Primary model feature; range=[2614,16383]"
PIR_9,pir_sensor_feature,int64,1296,False,"Primary model feature; range=[2615,16383]"
PIR_10,pir_sensor_feature,int64,1391,False,"Primary model feature; range=[2614,16383]"
PIR_11,pir_sensor_feature,int64,1447,False,"Primary model feature; range=[2611,16383]"
PIR_12,pir_sensor_feature,int64,1452,False,"Primary model feature; range=[2605,16383]"
PIR_13,pir_sensor_feature,int64,1412,False,"Primary model feature; range=[2602,16383]"
PIR_14,pir_sensor_feature,int64,1357,False,"Primary model feature; range=[2603,16383]"
PIR_15,pir_sensor_feature,int64,1260,False,"Primary model feature; range=[2611,16383]"
PIR_16,pir_sensor_feature,int64,1173,False,"Primary model feature; range=[2613,16383]"
PIR_17,pir_sensor_feature,int64,1065,False,"Primary model feature; range=[2614,16383]"
PIR_18,pir_sensor_feature,int64,953,False,"Primary model feature; range=[2613,16383]"
PIR_19,pir_sensor_feature,int64,865,False,"Primary model feature; range=[2612,16383]"
PIR_20,pir_sensor_feature,int64,806,False,"Primary model feature; range=[2612,16383]"
PIR_21,pir_sensor_feature,int64,774,False,"Primary model feature; range=[2613,16383]"
PIR_22,pir_sensor_feature,int64,773,False,"Primary model feature; range=[2614,16383]"
PIR_23,pir_sensor_feature,int64,785,False,"Primary model feature; range=[2614,16383]"
PIR_24,pir_sensor_feature,int64,795,False,"Primary model feature; range=[2618,16383]"
PIR_25,pir_sensor_feature,int64,796,False,"Primary model feature; range=[2619,16383]"
PIR_26,pir_sensor_feature,int64,810,False,"Primary model feature; range=[2618,16383]"
PIR_27,pir_sensor_feature,int64,817,False,"Primary model feature; range=[2615,16383]"
PIR_28,pir_sensor_feature,int64,822,False,"Primary model feature; range=[2615,16383]"
PIR_29,pir_sensor_feature,int64,832,False,"Primary model feature; range=[2615,16383]"
PIR_30,pir_sensor_feature,int64,827,False,"Primary model feature; range=[2615,16383]"
PIR_31,pir_sensor_feature,int64,809,False,"Primary model feature; range=[2614,16383]"
PIR_32,pir_sensor_feature,int64,810,False,"Primary model feature; range=[2613,16383]"
PIR_33,pir_sensor_feature,int64,809,False,"Primary model feature; range=[2614,16383]"
PIR_34,pir_sensor_feature,int64,780,False,"Primary model feature; range=[2614,16383]"
PIR_35,pir_sensor_feature,int64,789,False,"Primary model feature; range=[2612,16383]"
PIR_36,pir_sensor_feature,int64,776,False,"Primary model feature; range=[2614,16383]"
PIR_37,pir_sensor_feature,int64,1020,False,"Primary model feature; range=[2609,16383]"
PIR_38,pir_sensor_feature,int64,1676,False,"Primary model feature; range=[2611,16383]"
PIR_39,pir_sensor_feature,int64,1982,False,"Primary model feature; range=[2612,16383]"
PIR_40,pir_sensor_feature,int64,1969,False,"Primary model feature; range=[2612,16383]"
PIR_41,pir_sensor_feature,int64,1940,False,"Primary model feature; range=[2612,16383]"
PIR_42,pir_sensor_feature,int64,1615,False,"Primary model feature; range=[2611,16383]"
PIR_43,pir_sensor_feature,int64,1319,False,"Primary model feature; range=[2611,16383]"
PIR_44,pir_sensor_feature,int64,1414,False,"Primary model feature; range=[2613,16383]"
PIR_45,pir_sensor_feature,int64,1638,False,"Primary model feature; range=[2610,16383]"
PIR_46,pir_sensor_feature,int64,1725,False,"Primary model feature; range=[2606,16383]"
PIR_47,pir_sensor_feature,int64,1728,False,"Primary model feature; range=[2606,16383]"
PIR_48,pir_sensor_feature,int64,1717,False,"Primary model feature; range=[2606,16383]"
PIR_49,pir_sensor_feature,int64,1638,False,"Primary model feature; range=[2605,16383]"
PIR_50,pir_sensor_feature,int64,1510,False,"Primary model feature; range=[2605,16383]"
PIR_51,pir_sensor_feature,int64,1344,False,"Primary model feature; range=[2609,16383]"
PIR_52,pir_sensor_feature,int64,1181,False,"Primary model feature; range=[2605,16383]"
PIR_53,pir_sensor_feature,int64,1038,False,"Primary model feature; range=[2604,16383]"
PIR_54,pir_sensor_feature,int64,910,False,"Primary model feature; range=[2603,16383]"
PIR_55,pir_sensor_feature,int64,811,False,"Primary model feature; range=[2602,16383]"
