model,best_config_id,best_params,mean_fit_time_sec,mean_predict_time_sec,accuracy_mean,balanced_accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,weighted_f1_mean,mcc_mean,precision_class_0_mean,recall_class_0_mean,f1_class_0_mean,support_class_0_mean,precision_class_1_mean,recall_class_1_mean,f1_class_1_mean,support_class_1_mean,precision_class_3_mean,recall_class_3_mean,f1_class_3_mean,support_class_3_mean,accuracy_std,balanced_accuracy_std,macro_precision_std,macro_recall_std,macro_f1_std,weighted_f1_std,mcc_std,precision_class_0_std,recall_class_0_std,f1_class_0_std,support_class_0_std,precision_class_1_std,recall_class_1_std,f1_class_1_std,support_class_1_std,precision_class_3_std,recall_class_3_std,f1_class_3_std,support_class_3_std
RandomForest,0,"{'n_estimators': 300, 'max_depth': None, 'class_weight': None}",2.1810550200054424,0.18148801997303962,0.9748840826665426,0.9122366370120465,0.9296678095505188,0.9122366370120465,0.9196844116103241,0.974577074331869,0.9199385191343566,0.9924592879949244,0.9966528400369447,0.9945406573712953,1249.4,0.8889976965174562,0.9117345878557404,0.899785697072202,166.6,0.9075464441391757,0.828322483143455,0.864726880387475,114.2,0.005706649657117897,0.02685140999506519,0.02317053102377685,0.02685140999506519,0.023436824059995406,0.005978381789902528,0.019069893985099427,0.007025120945076823,0.0020508215800279102,0.0036615017488069697,19.578048932414077,0.04066942106069657,0.033734118869175087,0.030456957113847646,6.5038450166036395,0.048373301501762715,0.0684368222087089,0.04608618881334993,3.420526275297414
ExtraTrees,1,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",1.2087057600030675,0.21021557999774815,0.9751378019691896,0.9101531290332762,0.9344553279486025,0.9101531290332762,0.918889823252267,0.97468670020671,0.9211367796048211,0.9932217660238679,0.9963289800344548,0.9947651348441939,1249.4,0.8696200996533223,0.9408646383072774,0.9032799000610547,166.6,0.9405241181686173,0.7932657687580961,0.8586244348515525,114.2,0.005705640849467286,0.026142946129353913,0.019259986559643963,0.026142946129353913,0.02371977246101425,0.006034585700628039,0.018654110455028006,0.005726802628553991,0.0025505289060579394,0.0031720382168401403,19.578048932414077,0.0441080221058289,0.027295531600676808,0.028593431700617844,6.5038450166036395,0.03239280405080655,0.08071318380351118,0.05020767932468295,3.420526275297414
CatBoost,0,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': None}",9.728676919965073,0.009525020024739206,0.9744784633411155,0.909702400941581,0.9274239750525684,0.909702400941581,0.9162315719512701,0.9741504590068985,0.9191052054893838,0.9940117395128558,0.9960090090338675,0.9950009719314377,1249.4,0.8711290680665902,0.9311345308553456,0.899677669015978,166.6,0.9171311175782592,0.8019636629355299,0.8540160749063948,114.2,0.005524402689321322,0.02528398703132059,0.022836681971611348,0.02528398703132059,0.023696458568817098,0.005737166650099894,0.018009305757828248,0.005573463155913011,0.002979091983680172,0.0031055190134580348,19.578048932414077,0.04356622618339971,0.027360190947439397,0.029841391689470656,6.5038450166036395,0.04726170180542589,0.07384167222325251,0.049792666894604924,3.420526275297414
HistGradientBoosting,1,"{'max_iter': 200, 'max_depth': None, 'class_weight': 'balanced'}",3.6506079400191083,0.07463548004161566,0.9734221620172644,0.9079598423303257,0.9258228377031298,0.9079598423303257,0.9144951322746506,0.9731119854569439,0.9158054057045544,0.993382595022611,0.9952042119895909,0.9942825685648711,1249.4,0.8670685972422945,0.9284908894525101,0.8962539444856337,166.6,0.9170173208444841,0.8001844255488757,0.8529488837734472,114.2,0.0062731835124020035,0.028433950480049767,0.02806493223481137,0.028433950480049767,0.02771131081192395,0.006501973446019901,0.020368406117273027,0.005887962982825169,0.00313923510820152,0.0031543441295287674,19.578048932414077,0.04766331699060325,0.03037484048109419,0.03417965880609311,6.5038450166036395,0.05496431963695827,0.07776157524913613,0.05619996665838447,3.420526275297414
XGBoost,0,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",4.363947819988243,0.030252360017038883,0.9726504949224857,0.9030160383593724,0.9264532084559894,0.9030160383593724,0.9117962673359375,0.9722409460469373,0.9131534707408481,0.9924365781329365,0.995848042992668,0.9941305919062469,1249.4,0.8629169764282517,0.9238598023807297,0.8917322732902667,166.6,0.9240060708067805,0.7893402697047198,0.8495259368112988,114.2,0.004699489280977941,0.02384942680537899,0.022284653141530015,0.02384942680537899,0.022579179357559577,0.004970409483329159,0.015501040383742245,0.00612730287799742,0.0019737151301484623,0.0031585156757041087,19.578048932414077,0.04263111706790029,0.031099676084305698,0.027861448359909967,6.5038450166036395,0.051262560274191196,0.07419658392092997,0.05014671036036055,3.420526275297414
SVM,0,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': None}",1.115224720025435,0.12198485999833793,0.972920224595178,0.8976992546630089,0.9308502059663184,0.8976992546630089,0.908727695427622,0.9722108879929632,0.9141598857413907,0.9929269859500641,0.996799436612837,0.9948485419381546,1249.4,0.8506906562428853,0.9469344751159186,0.8956907141841294,166.6,0.9489329757060057,0.7493638522602717,0.8356438301605822,114.2,0.006306269470677497,0.02789385048817558,0.017547956326442668,0.02789385048817558,0.02426550782235071,0.006713365826278948,0.020719580141619676,0.006668267587163973,0.0020487276886045004,0.0033199276860417445,19.578048932414077,0.04087787906226497,0.03159515000140121,0.028532115317619018,6.5038450166036395,0.028480706304894108,0.07787076168226853,0.05058399885409833,3.420526275297414
MLP,0,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001}",0.880596479983069,0.0036667200503870843,0.9698288987383954,0.8899760973524046,0.9291842365438768,0.8899760973524046,0.9037576490331336,0.9690001043836949,0.9038930381287467,0.9892079813644887,0.9956819333162595,0.9924132623322952,1249.4,0.848506030057069,0.9314016714589265,0.887189931911523,166.6,0.9498386982100724,0.7428446872820275,0.831669752855583,114.2,0.0056331835167983775,0.025571481856787405,0.01484936988288139,0.025571481856787405,0.019309956205151708,0.006160390091310143,0.01941654460568691,0.00931892339747183,0.0022144311422831716,0.004514666892378198,19.578048932414077,0.033214465823244325,0.04806003075010533,0.02790629904511136,6.5038450166036395,0.0380054095166858,0.06977084197633192,0.04282402958593523,3.420526275297414
KNN,0,"{'n_neighbors': 5, 'weights': 'distance'}",0.01231865999288857,0.039288820000365376,0.9666755395136308,0.8781038786996724,0.9193619531672657,0.8781038786996724,0.8891675822255658,0.9657609134580142,0.8949603102741728,0.9919386333756977,0.9942478434977998,0.9930848110354932,1249.4,0.8103804973791796,0.9495761153168655,0.8741540021535942,166.6,0.9557667287469196,0.6904876772843525,0.8002639334876107,114.2,0.004303623806073414,0.019265669835605473,0.016533402040414813,0.019265669835605473,0.018369530312866807,0.004659474674985985,0.014614967753454017,0.00573636827325133,0.0020526896930181844,0.0031428388716846236,19.578048932414077,0.031367425090800274,0.023253301841700186,0.02182036545864268,6.5038450166036395,0.03995820477411308,0.05569314357633297,0.037876030665574684,3.420526275297414
DecisionTree,2,"{'max_depth': 12, 'class_weight': None}",0.6699177999980748,0.003504540026187897,0.9555651263870077,0.857818374209552,0.8713785412327283,0.857818374209552,0.86214975441083,0.955301266185206,0.8596656678147927,0.9889566745518656,0.989916842076564,0.9894019935956571,1249.4,0.8017575826832589,0.8512214605434559,0.8249884835662851,166.6,0.8234213664630603,0.7323168200086358,0.7720587860705477,114.2,0.004846932331142406,0.017659342878338636,0.028460093855894902,0.017659342878338636,0.017974648469602818,0.00434360762720793,0.014314222127058766,0.007755741459108429,0.006852683775361223,0.0033342829356173696,19.578048932414077,0.03902237903372867,0.0339679950832122,0.02251691300501913,6.5038450166036395,0.06933848623166297,0.06368812135491043,0.03771700385914553,3.420526275297414
LogisticRegression,2,"{'C': 0.1, 'class_weight': None}",0.22323949998244644,0.0018759199883788824,0.9450322464796008,0.7925127882966794,0.8818109279849768,0.7925127882966794,0.8185649656309169,0.9413187220250967,0.8210053724902325,0.9744619412269266,0.9958290518799913,0.9849840412968549,1249.4,0.7591044181920875,0.8452091635431455,0.7982397958377552,166.6,0.9118664245359159,0.5365001494669014,0.6724710597581406,114.2,0.009301820123793629,0.03535209183886482,0.015882975509385208,0.03535209183886482,0.027777381196905163,0.010774141785757366,0.03274961094993701,0.014306686918700824,0.0015482462923162128,0.007178148207617562,19.578048932414077,0.0500634484796665,0.0629202351275588,0.04015225815043468,6.5038450166036395,0.049575624670783615,0.06727995831943097,0.04802972083084785,3.420526275297414
