model,config_id,params,fold,n_train,n_val,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_3,recall_class_3,f1_class_3,support_class_3
ExtraTrees,0,"{'n_estimators': 300, 'max_depth': None, 'class_weight': None}",1,6115,1536,1.2041460999753326,0.22772540000732988,0.98046875,0.9386368616680475,0.9370757449170403,0.9386368616680475,0.937789549631655,0.9804983798867434,0.9382133024312393,0.9968076616121309,0.9952191235059761,0.9960127591706539,1255,0.9117647058823529,0.9337349397590361,0.9226190476190477,166,0.9026548672566371,0.8869565217391304,0.8947368421052632,115
ExtraTrees,0,"{'n_estimators': 300, 'max_depth': None, 'class_weight': None}",2,6148,1503,1.1002667000284418,0.22572049999143928,0.9693945442448436,0.8757109115020968,0.9121147451733748,0.8757109115020968,0.8856149579253674,0.9682889132073221,0.9029827922168505,0.9959448499594485,0.9991863303498779,0.9975629569455727,1229,0.8118279569892473,0.949685534591195,0.8753623188405797,159,0.9285714285714286,0.6782608695652174,0.7839195979899497,115
ExtraTrees,0,"{'n_estimators': 300, 'max_depth': None, 'class_weight': None}",3,6146,1505,1.1852885999251157,0.22758089995477349,0.9727574750830564,0.896708871138077,0.9182838876475475,0.896708871138077,0.9027276387192941,0.9722775026893118,0.9144781609809179,0.9975550122249389,0.9959316517493898,0.996742671009772,1229,0.8368421052631579,0.9578313253012049,0.8932584269662921,166,0.9204545454545454,0.7363636363636363,0.8181818181818182,110
ExtraTrees,0,"{'n_estimators': 300, 'max_depth': None, 'class_weight': None}",4,6095,1556,1.144891700008884,0.22577290004119277,0.9710796915167095,0.8991396043837776,0.9479536227971878,0.8991396043837776,0.9200276451338899,0.9704959446299571,0.906480775328372,0.9829325058184639,0.9960691823899371,0.9894572432643499,1272,0.8713450292397661,0.9030303030303031,0.8869047619047619,165,0.9895833333333334,0.7983193277310925,0.8837209302325582,119
ExtraTrees,0,"{'n_estimators': 300, 'max_depth': None, 'class_weight': None}",5,6100,1551,1.0924312000861391,0.20362429996021092,0.9793681495809156,0.9216416936020605,0.9512526105679827,0.9216416936020605,0.934220723984179,0.9789481301695616,0.9350613710256452,0.9921197793538219,0.9976228209191759,0.9948636902410115,1262,0.9037433155080213,0.9548022598870056,0.9285714285714286,177,0.9578947368421052,0.8125,0.8792270531400966,112
ExtraTrees,1,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",1,6115,1536,1.2196576999267563,0.18828510004095733,0.978515625,0.9378400489190435,0.9318028748273569,0.9378400489190435,0.9346671662109719,0.978633576054497,0.9323826248175832,0.9968,0.9928286852589642,0.9948103792415169,1255,0.8959537572254336,0.9337349397590361,0.9144542772861357,166,0.9026548672566371,0.8869565217391304,0.8947368421052632,115
ExtraTrees,1,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",2,6148,1503,1.2147348000435159,0.2279508999781683,0.9687292082501663,0.8728123607774592,0.9103807747829951,0.8728123607774592,0.882724368221849,0.9675513408858033,0.9009170275731873,0.9959448499594485,0.9991863303498779,0.9975629569455727,1229,0.8074866310160428,0.949685534591195,0.8728323699421965,159,0.927710843373494,0.6695652173913044,0.7777777777777778,115
ExtraTrees,1,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",3,6146,1505,1.1629088999470696,0.23308579996228218,0.9754152823920266,0.9088300832592892,0.9254355884602065,0.9088300832592892,0.9139119734449014,0.975107580855589,0.922702214787267,0.9975550122249389,0.9959316517493898,0.996742671009772,1229,0.8548387096774194,0.9578313253012049,0.9034090909090909,166,0.9239130434782609,0.7727272727272727,0.8415841584158416,110
ExtraTrees,1,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",4,6095,1556,1.148453600006178,0.20063209999352694,0.9704370179948586,0.8996584683044172,0.9429239654803565,0.8996584683044172,0.9183980037324968,0.9699399729507779,0.9045099723189647,0.9836829836829837,0.9952830188679245,0.9894490035169988,1272,0.8654970760233918,0.896969696969697,0.8809523809523809,165,0.9795918367346939,0.8067226890756303,0.8847926267281107,119
ExtraTrees,1,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",5,6100,1551,1.297773800091818,0.20112400001380593,0.9825918762088974,0.9316246839061715,0.9617334361920976,0.9316246839061715,0.944747604651116,0.9822010302868831,0.9451720585271038,0.9921259842519685,0.9984152139461173,0.995260663507109,1262,0.9243243243243243,0.9661016949152542,0.9447513812154696,177,0.96875,0.8303571428571429,0.8942307692307693,112
